"","id","median_comment_length","mean_comment_length","number_of_runs","days_in_database","number_of_platforms_played_on","fraction_of_runs_played_on_emulated","number_unique_players","fraction_runs_by_unique_players","run_production_rate"
"187","m1zgg060wdm46p3dgame-level","38","61.5","44","1816","3","0","38","0.863636363636364","0.0242290748898678"
"188","m1zmqx60mkeoo1jdgame-level","73","79.6666666666667","18","2375","1","0","18","1","0.00757894736842105"
"189","m9dozm1pwdmqx52qgame-level","55","89.047619047619","24","2281.95833333333","3","0","24","1","0.0105172823050377"
"190","n268p5dpnxd13rk8game-level","74","109.047619047619","112","3360","1","0","112","1","0.0333333333333333"
"191","n4d7r1727wk6prd1game-level","54","69.4223602484472","232","3347.95833333333","5","0.00431034482758621","223","0.961206896551724","0.0692959639581337"
"192","n4d7r172p7kjv4k3game-level","78","175.291666666667","38","3103.04166666667","1","0","38","1","0.0122460489036295"
"193","n4d7r172q254wgdogame-level","29","72.5882352941177","41","2782.04166666667","3","0","40","0.975609756097561","0.0147373781245788"
"194","n4d7r172xn2yqmkogame-level","66","100.615384615385","46","2980","3","0","45","0.978260869565217","0.0154362416107383"
"195","nd28g0edrkl56rw2game-level","18","32.0333333333333","36","132","2","0.0277777777777778","33","0.916666666666667","0.272727272727273"
"196","nd28g83d7dgmvnxdgame-level","34.5","79.9714285714286","111","1378","2","0.00900900900900901","103","0.927927927927928","0.0805515239477504"
"197","nd28g83d824nzgwkgame-level","42","52","61","635","1","0","60","0.983606557377049","0.0960629921259843"
