"","game_id_string","year_released","romhack","number_platforms","genre","developer","publisher","discord","require_video","emulators_allowed","number_of_runs"
"207","9doy4o6p","2004","FALSE","3","1n9q3v2m","v6dylp62","m0rvylrx","TRUE","TRUE","TRUE","86"
"208","9j1l576g","2007","FALSE","7","jp23x26k",NA,NA,"TRUE","TRUE","FALSE","167"
"209","9j1lgzdg","2003","FALSE","2",NA,NA,NA,"TRUE","TRUE","TRUE","755"
"210","j1l0z41g","2017","TRUE","0","d5o0g35w","y4zw106k","m0rvylrx","TRUE","TRUE","TRUE","144"
"211","j1l7kedg","2000","FALSE","16","p23103n6","ner0y5ej",NA,"TRUE","TRUE","TRUE","411"
"212","j1l9w71g","2013","FALSE","2",NA,NA,NA,"TRUE","TRUE","FALSE","87"
"213","j1lewj6g","2017","FALSE","9","oy5gp5e3","1zk9n2ej","5p6z7yr3","TRUE","TRUE","FALSE","985"
"214","j1lgy4dg","2009","FALSE","3",NA,NA,NA,"TRUE","TRUE","TRUE","66"
"215","j1ll5le1","2020","FALSE","4","p92dkmnl","ge0ykx6p","4np8p2rl","TRUE","TRUE","FALSE","102"
"216","j1ll7371","1978","FALSE","2",NA,NA,NA,"TRUE","TRUE","TRUE","63"
"217","j1ll8jv1","2018","FALSE","1","qdnqqrn8","qe5kylev","p6zde4r3","TRUE","TRUE","FALSE","2037"
"218","j1llr41g","2013","FALSE","1","qdnqekn8","mzndwl6r",NA,"TRUE","TRUE","TRUE","265"
"219","j1llrmz1","1999","TRUE","2",NA,NA,NA,"TRUE","TRUE","TRUE","62"
"220","j1lly0e1","2019","FALSE","1",NA,NA,NA,"TRUE","TRUE","TRUE","209"
"221","j1lonz1g","2012","FALSE","3",NA,NA,NA,"TRUE","TRUE","TRUE","148"
"222","j1lq546g","2014","FALSE","2",NA,NA,NA,"TRUE","TRUE","TRUE","261"
"223","j1lqq2e6","2007","FALSE","4","y5gk042e","qe50kw6v","kryk9e6v","TRUE","TRUE","FALSE","787"
"224","j1lypjdg","2001","FALSE","4",NA,NA,NA,"TRUE","TRUE","FALSE","73"
